State,Hour,Month,Predicted_Severity,Accident_Count,Correct_Preds,Prediction_Accuracy
AL,2,3,2.0,13,5,0.38461538461538464
AL,2,3,3.0,1,0,0.0
AL,2,4,1.0,3,1,0.3333333333333333
AL,2,4,2.0,23,6,0.2608695652173913
AL,2,4,3.0,3,1,0.3333333333333333
AL,2,4,4.0,1,0,0.0
AL,2,5,1.0,2,1,0.5
AL,2,5,2.0,24,7,0.2916666666666667
AL,2,5,3.0,2,0,0.0
AL,2,5,4.0,1,0,0.0
AL,2,6,1.0,3,0,0.0
AL,2,6,2.0,20,3,0.15
AL,2,6,4.0,2,0,0.0
AL,2,7,1.0,2,0,0.0
AL,2,7,2.0,18,8,0.4444444444444444
AL,2,7,3.0,1,0,0.0
AL,2,8,1.0,1,1,1.0
AL,2,8,2.0,19,7,0.3684210526315789
AL,2,8,3.0,4,2,0.5
AL,2,9,1.0,2,1,0.5
AL,2,9,2.0,24,6,0.25
AL,2,9,3.0,3,1,0.3333333333333333
AL,2,9,4.0,4,1,0.25
AL,2,10,1.0,1,0,0.0
AL,2,10,2.0,13,5,0.38461538461538464
AL,2,10,3.0,3,0,0.0
AL,2,10,4.0,1,1,1.0
AL,2,11,1.0,2,1,0.5
AL,2,11,2.0,23,9,0.391304347826087
AL,2,11,3.0,7,0,0.0
AL,2,12,1.0,1,0,0.0
AL,2,12,2.0,31,17,0.5483870967741935
AL,2,12,3.0,4,1,0.25
AL,2,12,4.0,2,0,0.0
AL,3,1,2.0,23,9,0.391304347826087
AL,3,1,3.0,1,0,0.0
AL,3,1,4.0,3,0,0.0
AL,3,2,1.0,1,0,0.0
AL,3,2,2.0,24,5,0.20833333333333334
AL,3,3,2.0,27,9,0.3333333333333333
AL,3,3,4.0,2,0,0.0
AL,3,4,1.0,2,0,0.0
AL,3,4,2.0,25,7,0.28
AL,3,4,4.0,1,0,0.0
AL,3,5,1.0,1,0,0.0
AL,3,5,2.0,27,6,0.2222222222222222
AL,3,5,3.0,2,0,0.0
AL,3,5,4.0,2,0,0.0
AL,3,6,1.0,1,1,1.0
AL,3,6,2.0,16,5,0.3125
AL,3,6,3.0,3,1,0.3333333333333333
AL,3,7,1.0,2,0,0.0
AL,3,7,2.0,16,7,0.4375
AL,3,7,3.0,3,0,0.0
AL,3,8,1.0,3,1,0.3333333333333333
AL,3,8,2.0,20,8,0.4
AL,3,8,3.0,1,0,0.0
AL,3,9,1.0,1,1,1.0
AL,3,9,2.0,20,8,0.4
AL,3,9,3.0,5,4,0.8
AL,3,9,4.0,1,0,0.0
AL,3,10,1.0,3,0,0.0
AL,3,10,2.0,17,6,0.35294117647058826
AL,3,10,3.0,1,0,0.0
AL,3,10,4.0,3,2,0.6666666666666666
AL,3,11,1.0,3,0,0.0
AL,3,11,2.0,15,4,0.26666666666666666
AL,3,11,3.0,5,0,0.0
AL,3,11,4.0,3,2,0.6666666666666666
AL,3,12,2.0,14,9,0.6428571428571429
AL,3,12,3.0,2,1,0.5
AL,3,12,4.0,1,0,0.0
AL,4,1,1.0,2,1,0.5
AL,4,1,2.0,19,11,0.5789473684210527
AL,4,1,3.0,2,1,0.5
AL,4,1,4.0,2,1,0.5
AL,4,2,1.0,2,0,0.0
AL,4,2,2.0,18,4,0.2222222222222222
AL,4,2,3.0,3,1,0.3333333333333333
AL,4,2,4.0,1,0,0.0
AL,4,3,1.0,1,0,0.0
AL,4,3,2.0,19,10,0.5263157894736842
AL,4,3,3.0,4,1,0.25
AL,4,4,1.0,2,0,0.0
AL,4,4,2.0,24,11,0.4583333333333333
AL,4,4,3.0,5,1,0.2
AL,4,4,4.0,3,2,0.6666666666666666
AL,4,5,1.0,2,0,0.0
AL,4,5,2.0,18,7,0.3888888888888889
AL,4,6,1.0,1,0,0.0
AL,4,6,2.0,21,8,0.38095238095238093
AL,4,6,4.0,1,0,0.0
AL,4,7,1.0,2,0,0.0
AL,4,7,2.0,23,7,0.30434782608695654
AL,4,7,3.0,4,1,0.25
AL,4,8,1.0,3,1,0.3333333333333333
AL,4,8,2.0,20,7,0.35
AL,4,8,3.0,5,0,0.0
AL,4,9,1.0,2,1,0.5
AL,4,9,2.0,18,6,0.3333333333333333
AL,4,9,3.0,2,0,0.0
AL,4,10,1.0,1,0,0.0
AL,4,10,2.0,23,11,0.4782608695652174
AL,4,10,3.0,5,0,0.0
AL,4,11,1.0,2,0,0.0
AL,4,11,2.0,26,12,0.46153846153846156
AL,4,11,3.0,6,1,0.16666666666666666
AL,4,11,4.0,1,0,0.0
AL,4,12,1.0,1,1,1.0
AL,4,12,2.0,16,5,0.3125
AL,4,12,3.0,5,1,0.2
AL,4,12,4.0,3,1,0.3333333333333333
AL,5,1,1.0,2,1,0.5
AL,5,1,2.0,30,15,0.5
AL,5,1,3.0,2,2,1.0
AL,5,1,4.0,1,0,0.0
AL,5,2,1.0,1,1,1.0
AL,5,2,2.0,24,6,0.25
AL,5,2,3.0,3,0,0.0
AL,5,3,1.0,4,2,0.5
AL,5,3,2.0,26,16,0.6153846153846154
AL,5,3,3.0,2,0,0.0
AL,5,3,4.0,2,0,0.0
AL,5,4,1.0,2,1,0.5
AL,5,4,2.0,25,12,0.48
AL,5,4,3.0,2,0,0.0
AL,5,4,4.0,2,1,0.5
AL,5,5,2.0,30,8,0.26666666666666666
AL,5,5,3.0,3,2,0.6666666666666666
AL,5,5,4.0,1,0,0.0
AL,5,6,2.0,24,9,0.375
AL,5,6,3.0,5,1,0.2
AL,5,7,1.0,3,1,0.3333333333333333
AL,5,7,2.0,25,9,0.36
AL,5,7,3.0,3,0,0.0
AL,5,8,1.0,1,0,0.0
AL,5,8,2.0,21,8,0.38095238095238093
AL,5,8,3.0,4,3,0.75
AL,5,9,1.0,3,0,0.0
AL,5,9,2.0,14,6,0.42857142857142855
AL,5,9,3.0,3,0,0.0
AL,5,9,4.0,1,0,0.0
AL,5,10,2.0,16,6,0.375
AL,5,10,3.0,2,0,0.0
AL,5,10,4.0,2,0,0.0
AL,5,11,1.0,1,0,0.0
AL,5,11,2.0,25,12,0.48
AL,5,11,3.0,1,0,0.0
AL,5,11,4.0,2,0,0.0
AL,5,12,1.0,5,2,0.4
AL,5,12,2.0,26,12,0.46153846153846156
AL,5,12,3.0,4,1,0.25
AL,5,12,4.0,3,2,0.6666666666666666
AL,6,1,1.0,3,1,0.3333333333333333
AL,6,1,2.0,46,33,0.717391304347826
AL,6,1,3.0,3,0,0.0
AL,6,1,4.0,1,0,0.0
AL,6,2,2.0,34,22,0.6470588235294118
AL,6,2,3.0,6,0,0.0
AL,6,2,4.0,1,0,0.0
AL,6,3,1.0,2,0,0.0
AL,6,3,2.0,49,25,0.5102040816326531
AL,6,3,3.0,5,2,0.4
AL,6,3,4.0,1,0,0.0
AL,6,4,1.0,2,0,0.0
AL,6,4,2.0,30,18,0.6
AL,6,4,3.0,4,1,0.25
AL,6,4,4.0,1,1,1.0
AL,6,5,1.0,3,1,0.3333333333333333
AL,6,5,2.0,25,10,0.4
AL,6,5,3.0,1,0,0.0
AL,6,6,1.0,2,1,0.5
AL,6,6,2.0,27,15,0.5555555555555556
AL,6,6,3.0,1,0,0.0
AL,6,6,4.0,1,0,0.0
AL,6,7,1.0,3,0,0.0
AL,6,7,2.0,29,12,0.41379310344827586
AL,6,7,3.0,5,1,0.2
AL,6,7,4.0,1,0,0.0
AL,6,8,1.0,1,1,1.0
AL,6,8,2.0,46,24,0.5217391304347826
AL,6,8,3.0,4,1,0.25
AL,6,8,4.0,1,0,0.0
AL,6,9,2.0,32,12,0.375
AL,6,9,4.0,1,1,1.0
AL,6,10,1.0,3,0,0.0
AL,6,10,2.0,41,26,0.6341463414634146
AL,6,10,3.0,4,0,0.0
AL,6,10,4.0,1,1,1.0
AL,6,11,1.0,2,0,0.0
AL,6,11,2.0,34,24,0.7058823529411765
AL,6,11,3.0,5,1,0.2
AL,6,11,4.0,1,1,1.0
AL,6,12,1.0,1,0,0.0
AL,6,12,2.0,31,14,0.45161290322580644
AL,6,12,3.0,6,2,0.3333333333333333
AL,6,12,4.0,5,2,0.4
AL,7,1,1.0,2,1,0.5
AL,7,1,2.0,59,34,0.576271186440678
AL,7,1,3.0,1,1,1.0
AL,7,1,4.0,1,0,0.0
AL,7,2,1.0,2,1,0.5
AL,7,2,2.0,50,33,0.66
AL,7,2,3.0,3,0,0.0
AL,7,2,4.0,2,0,0.0
AL,7,3,1.0,3,2,0.6666666666666666
AL,7,3,2.0,41,22,0.5365853658536586
AL,7,3,4.0,1,0,0.0
AL,7,4,1.0,2,0,0.0
AL,7,4,2.0,65,41,0.6307692307692307
AL,7,4,3.0,1,0,0.0
AL,7,5,1.0,2,0,0.0
AL,7,5,2.0,38,20,0.5263157894736842
AL,7,5,3.0,3,1,0.3333333333333333
AL,7,6,2.0,46,26,0.5652173913043478
AL,7,6,3.0,3,1,0.3333333333333333
AL,7,6,4.0,1,0,0.0
AL,7,7,1.0,1,0,0.0
AL,7,7,2.0,32,15,0.46875
AL,7,7,3.0,3,0,0.0
AL,7,7,4.0,2,1,0.5
AL,7,8,1.0,1,0,0.0
AL,7,8,2.0,78,46,0.5897435897435898
AL,7,8,3.0,1,0,0.0
AL,7,9,2.0,49,27,0.5510204081632653
AL,7,9,3.0,3,0,0.0
AL,7,9,4.0,1,0,0.0
AL,7,10,2.0,73,48,0.6575342465753424
AL,7,10,3.0,3,1,0.3333333333333333
AL,7,10,4.0,3,1,0.3333333333333333
AL,7,11,1.0,2,0,0.0
AL,7,11,2.0,58,39,0.6724137931034483
AL,7,11,3.0,3,0,0.0
AL,7,11,4.0,3,1,0.3333333333333333
AL,7,12,1.0,1,0,0.0
AL,7,12,2.0,61,36,0.5901639344262295
AL,7,12,3.0,9,2,0.2222222222222222
AL,7,12,4.0,3,1,0.3333333333333333
AL,8,1,1.0,2,1,0.5
AL,8,1,2.0,45,30,0.6666666666666666
AL,8,1,3.0,3,1,0.3333333333333333
AL,8,1,4.0,2,0,0.0
AL,8,2,1.0,2,1,0.5
AL,8,2,2.0,66,37,0.5606060606060606
AL,8,2,3.0,5,1,0.2
AL,8,2,4.0,3,0,0.0
AL,8,3,1.0,1,0,0.0
AL,8,3,2.0,42,24,0.5714285714285714
AL,8,3,3.0,1,0,0.0
AL,8,3,4.0,1,0,0.0
AL,8,4,2.0,53,38,0.7169811320754716
AL,8,4,3.0,2,0,0.0
AL,8,4,4.0,2,0,0.0
AL,8,5,1.0,1,0,0.0
AL,8,5,2.0,47,22,0.46808510638297873
AL,8,5,3.0,1,0,0.0
AL,8,6,1.0,1,0,0.0
AL,8,6,2.0,25,16,0.64
AL,8,6,3.0,4,2,0.5
AL,8,7,1.0,1,0,0.0
AL,8,7,2.0,45,24,0.5333333333333333
AL,8,7,3.0,3,0,0.0
AL,8,7,4.0,1,0,0.0
AL,8,8,1.0,1,1,1.0
AL,8,8,2.0,67,32,0.47761194029850745
AL,8,8,3.0,3,0,0.0
AL,8,8,4.0,4,3,0.75
AL,8,9,2.0,46,26,0.5652173913043478
AL,8,9,3.0,1,0,0.0
AL,8,9,4.0,2,0,0.0
AL,8,10,2.0,49,31,0.6326530612244898
AL,8,10,3.0,1,1,1.0
AL,8,11,2.0,57,33,0.5789473684210527
AL,8,11,3.0,3,2,0.6666666666666666
AL,8,11,4.0,1,1,1.0
AL,8,12,2.0,40,26,0.65
AL,8,12,3.0,3,1,0.3333333333333333
AL,8,12,4.0,2,0,0.0
AL,9,1,2.0,31,15,0.4838709677419355
AL,9,1,3.0,2,1,0.5
AL,9,1,4.0,1,0,0.0
AL,9,2,1.0,3,1,0.3333333333333333
AL,9,2,2.0,36,16,0.4444444444444444
AL,9,2,3.0,1,0,0.0
AL,9,2,4.0,1,1,1.0
AL,9,3,1.0,3,0,0.0
AL,9,3,2.0,21,10,0.47619047619047616
AL,9,3,3.0,1,0,0.0
AL,9,4,1.0,2,0,0.0
AL,9,4,2.0,34,18,0.5294117647058824
AL,9,4,3.0,1,0,0.0
AL,9,4,4.0,1,1,1.0
AL,9,5,1.0,3,2,0.6666666666666666
AL,9,5,2.0,20,7,0.35
AL,9,6,1.0,1,1,1.0
AL,9,6,2.0,46,25,0.5434782608695652
AL,9,6,3.0,1,0,0.0
AL,9,6,4.0,1,0,0.0
AL,9,7,2.0,36,20,0.5555555555555556
AL,9,7,3.0,3,0,0.0
AL,9,7,4.0,2,2,1.0
AL,9,8,1.0,2,0,0.0
AL,9,8,2.0,34,22,0.6470588235294118
AL,9,8,3.0,1,0,0.0
AL,9,9,2.0,35,23,0.6571428571428571
AL,9,9,3.0,4,0,0.0
AL,9,9,4.0,1,0,0.0
AL,9,10,1.0,2,1,0.5
AL,9,10,2.0,44,24,0.5454545454545454
AL,9,10,3.0,4,0,0.0
AL,9,10,4.0,1,1,1.0
AL,9,11,1.0,1,0,0.0
AL,9,11,2.0,24,12,0.5
AL,9,11,3.0,4,2,0.5
AL,9,11,4.0,1,1,1.0
AL,9,12,1.0,1,0,0.0
AL,9,12,2.0,34,20,0.5882352941176471
AL,9,12,3.0,3,1,0.3333333333333333
AL,10,1,1.0,4,2,0.5
AL,10,1,2.0,27,16,0.5925925925925926
AL,10,1,3.0,1,1,1.0
AL,10,1,4.0,2,1,0.5
AL,10,2,1.0,1,0,0.0
AL,10,2,2.0,37,20,0.5405405405405406
AL,10,3,2.0,42,26,0.6190476190476191
AL,10,3,3.0,4,1,0.25
AL,10,3,4.0,1,0,0.0
AL,10,4,1.0,1,0,0.0
AL,10,4,2.0,29,21,0.7241379310344828
AL,10,4,3.0,3,1,0.3333333333333333
AL,10,4,4.0,1,0,0.0
AL,10,5,1.0,1,0,0.0
AL,10,5,2.0,28,19,0.6785714285714286
AL,10,5,3.0,1,0,0.0
AL,10,6,1.0,4,1,0.25
AL,10,6,2.0,43,23,0.5348837209302325
AL,10,6,3.0,2,1,0.5
AL,10,6,4.0,2,0,0.0
AL,10,7,1.0,2,0,0.0
AL,10,7,2.0,35,21,0.6
AL,10,7,3.0,4,0,0.0
AL,10,7,4.0,3,0,0.0
AL,10,8,1.0,3,1,0.3333333333333333
AL,10,8,2.0,30,14,0.4666666666666667
AL,10,8,3.0,5,1,0.2
AL,10,9,1.0,1,0,0.0
AL,10,9,2.0,45,25,0.5555555555555556
AL,10,9,3.0,6,1,0.16666666666666666
AL,10,9,4.0,3,2,0.6666666666666666
AL,10,10,2.0,31,19,0.6129032258064516
AL,10,10,3.0,3,1,0.3333333333333333
AL,10,11,1.0,3,0,0.0
AL,10,11,2.0,27,15,0.5555555555555556
AL,10,11,3.0,4,1,0.25
AL,10,11,4.0,1,0,0.0
AL,10,12,1.0,3,2,0.6666666666666666
AL,10,12,2.0,32,22,0.6875
AL,10,12,3.0,1,0,0.0
AL,10,12,4.0,2,0,0.0
AL,11,1,1.0,2,0,0.0
AL,11,1,2.0,31,21,0.6774193548387096
AL,11,1,3.0,1,0,0.0
AL,11,2,1.0,2,1,0.5
AL,11,2,2.0,31,18,0.5806451612903226
AL,11,2,3.0,3,0,0.0
AL,11,2,4.0,1,0,0.0
AL,11,3,1.0,2,1,0.5
AL,11,3,2.0,25,14,0.56
AL,11,3,3.0,4,2,0.5
AL,11,3,4.0,1,1,1.0
AL,11,4,1.0,1,0,0.0
AL,11,4,2.0,29,18,0.6206896551724138
AL,11,4,3.0,6,1,0.16666666666666666
AL,11,4,4.0,2,0,0.0
AL,11,5,1.0,2,0,0.0
AL,11,5,2.0,36,26,0.7222222222222222
AL,11,5,3.0,2,1,0.5
AL,11,5,4.0,1,0,0.0
AL,11,6,1.0,5,1,0.2
AL,11,6,2.0,42,25,0.5952380952380952
AL,11,6,3.0,2,1,0.5
AL,11,6,4.0,1,1,1.0
AL,11,7,1.0,3,0,0.0
AL,11,7,2.0,32,19,0.59375
AL,11,7,3.0,4,0,0.0
AL,11,7,4.0,1,0,0.0
AL,11,8,1.0,5,1,0.2
AL,11,8,2.0,36,18,0.5
AL,11,8,3.0,1,1,1.0
AL,11,9,1.0,4,1,0.25
AL,11,9,2.0,31,18,0.5806451612903226
AL,11,9,3.0,4,1,0.25
AL,11,9,4.0,1,0,0.0
AL,11,10,1.0,1,0,0.0
AL,11,10,2.0,31,18,0.5806451612903226
AL,11,10,3.0,4,0,0.0
AL,11,10,4.0,2,0,0.0
AL,11,11,1.0,1,1,1.0
AL,11,11,2.0,34,11,0.3235294117647059
AL,11,11,3.0,3,1,0.3333333333333333
AL,11,12,1.0,2,0,0.0
AL,11,12,2.0,33,19,0.5757575757575758
AL,11,12,3.0,5,0,0.0
AL,11,12,4.0,1,0,0.0
AL,12,1,1.0,3,0,0.0
AL,12,1,2.0,30,23,0.7666666666666667
AL,12,1,3.0,4,3,0.75
AL,12,1,4.0,1,0,0.0
AL,12,2,1.0,2,0,0.0
AL,12,2,2.0,28,14,0.5
AL,12,3,2.0,34,19,0.5588235294117647
AL,12,3,3.0,1,0,0.0
AL,12,4,1.0,2,1,0.5
AL,12,4,2.0,35,18,0.5142857142857142
AL,12,4,3.0,4,1,0.25
AL,12,5,1.0,3,2,0.6666666666666666
AL,12,5,2.0,32,22,0.6875
AL,12,5,3.0,2,1,0.5
AL,12,6,1.0,2,0,0.0
AL,12,6,2.0,33,23,0.696969696969697
AL,12,6,3.0,1,0,0.0
AL,12,6,4.0,3,0,0.0
AL,12,7,1.0,4,0,0.0
AL,12,7,2.0,44,25,0.5681818181818182
AL,12,7,3.0,3,0,0.0
AL,12,8,1.0,2,0,0.0
AL,12,8,2.0,43,20,0.46511627906976744
AL,12,8,3.0,3,3,1.0
AL,12,8,4.0,1,0,0.0
AL,12,9,1.0,3,0,0.0
AL,12,9,2.0,38,22,0.5789473684210527
AL,12,9,3.0,2,0,0.0
AL,12,9,4.0,2,0,0.0
AL,12,10,1.0,3,1,0.3333333333333333
AL,12,10,2.0,33,20,0.6060606060606061
AL,12,10,3.0,6,1,0.16666666666666666
AL,12,10,4.0,1,0,0.0
AL,12,11,2.0,26,16,0.6153846153846154
AL,12,11,3.0,5,1,0.2
AL,12,11,4.0,2,0,0.0
AL,12,12,1.0,1,0,0.0
AL,12,12,2.0,44,26,0.5909090909090909
AL,12,12,3.0,4,2,0.5
AL,12,12,4.0,1,0,0.0
AL,13,1,1.0,2,0,0.0
AL,13,1,2.0,48,23,0.4791666666666667
AL,13,1,3.0,1,0,0.0
AL,13,1,4.0,1,0,0.0
AL,13,2,1.0,1,1,1.0
AL,13,2,2.0,34,14,0.4117647058823529
AL,13,2,3.0,1,0,0.0
AL,13,3,1.0,1,1,1.0
AL,13,3,2.0,34,18,0.5294117647058824
AL,13,3,3.0,3,0,0.0
AL,13,3,4.0,1,1,1.0
AL,13,4,1.0,3,1,0.3333333333333333
AL,13,4,2.0,39,16,0.41025641025641024
AL,13,4,3.0,2,0,0.0
AL,13,5,1.0,4,3,0.75
AL,13,5,2.0,32,21,0.65625
AL,13,5,3.0,3,0,0.0
AL,13,6,1.0,1,0,0.0
AL,13,6,2.0,44,22,0.5
AL,13,6,3.0,1,0,0.0
AL,13,6,4.0,1,1,1.0
AL,13,7,1.0,1,1,1.0
AL,13,7,2.0,47,23,0.48936170212765956
AL,13,7,3.0,2,0,0.0
AL,13,7,4.0,1,1,1.0
AL,13,8,1.0,5,1,0.2
AL,13,8,2.0,49,26,0.5306122448979592
AL,13,8,3.0,3,2,0.6666666666666666
AL,13,8,4.0,2,0,0.0
AL,13,9,1.0,2,1,0.5
AL,13,9,2.0,29,13,0.4482758620689655
AL,13,9,3.0,2,2,1.0
AL,13,9,4.0,1,0,0.0
AL,13,10,1.0,3,0,0.0
AL,13,10,2.0,40,20,0.5
AL,13,10,3.0,3,2,0.6666666666666666
AL,13,10,4.0,3,0,0.0
AL,13,11,1.0,3,1,0.3333333333333333
AL,13,11,2.0,31,24,0.7741935483870968
AL,13,11,3.0,6,1,0.16666666666666666
AL,13,11,4.0,1,0,0.0
AL,13,12,1.0,2,1,0.5
AL,13,12,2.0,40,26,0.65
AL,13,12,3.0,2,0,0.0
AL,13,12,4.0,2,0,0.0
AL,14,1,1.0,1,0,0.0
AL,14,1,2.0,35,27,0.7714285714285715
AL,14,1,3.0,3,2,0.6666666666666666
AL,14,2,1.0,3,1,0.3333333333333333
AL,14,2,2.0,34,16,0.47058823529411764
AL,14,2,3.0,3,1,0.3333333333333333
AL,14,3,1.0,1,0,0.0
AL,14,3,2.0,44,28,0.6363636363636364
AL,14,3,4.0,1,0,0.0
AL,14,4,1.0,1,0,0.0
AL,14,4,2.0,40,26,0.65
AL,14,4,3.0,2,0,0.0
AL,14,5,1.0,2,1,0.5
AL,14,5,2.0,32,15,0.46875
AL,14,5,3.0,5,1,0.2
AL,14,5,4.0,4,1,0.25
AL,14,6,1.0,1,0,0.0
AL,14,6,2.0,43,26,0.6046511627906976
AL,14,6,3.0,3,1,0.3333333333333333
AL,14,6,4.0,1,1,1.0
AL,14,7,1.0,2,0,0.0
AL,14,7,2.0,36,17,0.4722222222222222
AL,14,7,3.0,3,0,0.0
AL,14,7,4.0,2,0,0.0
AL,14,8,1.0,2,0,0.0
AL,14,8,2.0,38,16,0.42105263157894735
AL,14,8,3.0,2,1,0.5
AL,14,8,4.0,3,1,0.3333333333333333
AL,14,9,1.0,1,0,0.0
AL,14,9,2.0,52,32,0.6153846153846154
AL,14,9,3.0,6,1,0.16666666666666666
AL,14,10,1.0,3,0,0.0
AL,14,10,2.0,53,27,0.5094339622641509
AL,14,10,3.0,1,0,0.0
AL,14,11,1.0,4,0,0.0
AL,14,11,2.0,41,30,0.7317073170731707
AL,14,11,3.0,3,0,0.0
AL,14,11,4.0,2,0,0.0
AL,14,12,1.0,2,0,0.0
AL,14,12,2.0,42,25,0.5952380952380952
AL,14,12,3.0,5,1,0.2
AL,14,12,4.0,2,0,0.0
AL,15,1,1.0,2,0,0.0
AL,15,1,2.0,48,33,0.6875
AL,15,2,1.0,3,1,0.3333333333333333
AL,15,2,2.0,66,45,0.6818181818181818
AL,15,2,3.0,4,1,0.25
AL,15,3,1.0,3,0,0.0
AL,15,3,2.0,59,38,0.6440677966101694
AL,15,3,3.0,2,1,0.5
AL,15,3,4.0,1,0,0.0
AL,15,4,1.0,2,1,0.5
AL,15,4,2.0,45,26,0.5777777777777777
AL,15,4,3.0,1,0,0.0
AL,15,4,4.0,1,0,0.0
AL,15,5,1.0,3,0,0.0
AL,15,5,2.0,61,39,0.639344262295082
AL,15,5,3.0,3,2,0.6666666666666666
AL,15,5,4.0,3,1,0.3333333333333333
AL,15,6,1.0,2,2,1.0
AL,15,6,2.0,55,29,0.5272727272727272
AL,15,6,3.0,1,1,1.0
AL,15,6,4.0,3,0,0.0
AL,15,7,2.0,50,32,0.64
AL,15,7,3.0,2,0,0.0
AL,15,7,4.0,3,3,1.0
AL,15,8,1.0,3,0,0.0
AL,15,8,2.0,58,30,0.5172413793103449
AL,15,8,3.0,4,1,0.25
AL,15,9,1.0,1,0,0.0
AL,15,9,2.0,54,30,0.5555555555555556
AL,15,9,3.0,2,0,0.0
AL,15,9,4.0,2,1,0.5
AL,15,10,1.0,2,2,1.0
AL,15,10,2.0,63,37,0.5873015873015873
AL,15,10,3.0,4,0,0.0
AL,15,10,4.0,2,2,1.0
AL,15,11,1.0,3,0,0.0
AL,15,11,2.0,60,41,0.6833333333333333
AL,15,11,3.0,1,0,0.0
AL,15,12,1.0,2,0,0.0
AL,15,12,2.0,54,38,0.7037037037037037
AL,15,12,3.0,8,2,0.25
AL,16,1,1.0,3,1,0.3333333333333333
AL,16,1,2.0,58,47,0.8103448275862069
AL,16,1,3.0,2,0,0.0
AL,16,1,4.0,1,0,0.0
AL,16,2,1.0,1,0,0.0
AL,16,2,2.0,45,32,0.7111111111111111
AL,16,2,4.0,1,1,1.0
AL,16,3,1.0,4,1,0.25
AL,16,3,2.0,59,36,0.6101694915254238
AL,16,3,3.0,2,0,0.0
AL,16,4,1.0,3,0,0.0
AL,16,4,2.0,70,44,0.6285714285714286
AL,16,4,3.0,1,0,0.0
AL,16,4,4.0,1,0,0.0
AL,16,5,1.0,1,1,1.0
AL,16,5,2.0,58,41,0.7068965517241379
AL,16,6,1.0,6,1,0.16666666666666666
